source,run_id,source_trace_id,trace_id,label,item_count,word,mutation,route_preserving,description
fixtures/v11_normal_runs/run-00.json,run-00,run0-n1-r0,run0-n1-r0,normal,1,p#cs#pcs,none,True,unmodified normal trace projection
fixtures/v11_normal_runs/run-00.json,run-00,run0-n1-r0,run0-n1-r0-currency-server-phase-inversion,anomaly,1,p#sc#pcs,currency-server-phase-inversion,True,swap the final product-conversion and shipping-conversion SERVER order while retaining Checkout CLIENT order
fixtures/v11_normal_runs/run-00.json,run-00,run0-n1-r0,run0-n1-r0-duplicate-product-currency-server-occurrence,anomaly,1,p#ccs#pcs,duplicate-product-currency-server-occurrence,True,duplicate one product-price Currency SERVER span
fixtures/v11_normal_runs/run-00.json,run-00,run0-n1-r0,run0-n1-r0-duplicate-product-server-occurrence,anomaly,1,pp#cs#pcs,duplicate-product-server-occurrence,True,duplicate one Product Catalog SERVER span without duplicating its CLIENT span
fixtures/v11_normal_runs/run-00.json,run-00,run0-n1-r0,run0-n1-r0-duplicate-shipping-currency-server-occurrence,anomaly,1,p#css#pcs,duplicate-shipping-currency-server-occurrence,True,duplicate the shipping Currency SERVER span
fixtures/v11_normal_runs/run-00.json,run-00,run0-n1-r1,run0-n1-r1,normal,1,p#cs#pcs,none,True,unmodified normal trace projection
fixtures/v11_normal_runs/run-00.json,run-00,run0-n1-r1,run0-n1-r1-currency-server-phase-inversion,anomaly,1,p#sc#pcs,currency-server-phase-inversion,True,swap the final product-conversion and shipping-conversion SERVER order while retaining Checkout CLIENT order
fixtures/v11_normal_runs/run-00.json,run-00,run0-n1-r1,run0-n1-r1-duplicate-product-currency-server-occurrence,anomaly,1,p#ccs#pcs,duplicate-product-currency-server-occurrence,True,duplicate one product-price Currency SERVER span
fixtures/v11_normal_runs/run-00.json,run-00,run0-n1-r1,run0-n1-r1-duplicate-product-server-occurrence,anomaly,1,pp#cs#pcs,duplicate-product-server-occurrence,True,duplicate one Product Catalog SERVER span without duplicating its CLIENT span
fixtures/v11_normal_runs/run-00.json,run-00,run0-n1-r1,run0-n1-r1-duplicate-shipping-currency-server-occurrence,anomaly,1,p#css#pcs,duplicate-shipping-currency-server-occurrence,True,duplicate the shipping Currency SERVER span
fixtures/v11_normal_runs/run-00.json,run-00,run0-n2-r0,run0-n2-r0,normal,2,pp#ccs#pcpcs,none,True,unmodified normal trace projection
fixtures/v11_normal_runs/run-00.json,run-00,run0-n2-r0,run0-n2-r0-currency-server-phase-inversion,anomaly,2,pp#csc#pcpcs,currency-server-phase-inversion,True,swap the final product-conversion and shipping-conversion SERVER order while retaining Checkout CLIENT order
fixtures/v11_normal_runs/run-00.json,run-00,run0-n2-r0,run0-n2-r0-drop-product-currency-server-occurrence,anomaly,2,pp#cs#pcpcs,drop-product-currency-server-occurrence,True,drop one product-price Currency SERVER span; other Currency edges remain
