seed,model,group,correct,count,rate
0,adaptive-f3-mcfg,normal-all,18,18,1.0
0,adaptive-f3-mcfg,normal-seen-size,8,8,1.0
0,adaptive-f3-mcfg,normal-unseen-size,10,10,1.0
0,adaptive-f3-mcfg,fault:currency-server-phase-inversion:all,18,18,1.0
0,adaptive-f3-mcfg,fault:currency-server-phase-inversion:seen-size,8,8,1.0
0,adaptive-f3-mcfg,fault:currency-server-phase-inversion:unseen-size,10,10,1.0
0,adaptive-f3-mcfg,fault:drop-product-currency-server-occurrence:all,14,14,1.0
0,adaptive-f3-mcfg,fault:drop-product-currency-server-occurrence:seen-size,4,4,1.0
0,adaptive-f3-mcfg,fault:drop-product-currency-server-occurrence:unseen-size,10,10,1.0
0,adaptive-f3-mcfg,fault:drop-product-server-occurrence:all,14,14,1.0
0,adaptive-f3-mcfg,fault:drop-product-server-occurrence:seen-size,4,4,1.0
0,adaptive-f3-mcfg,fault:drop-product-server-occurrence:unseen-size,10,10,1.0
0,adaptive-f3-mcfg,fault:duplicate-product-currency-server-occurrence:all,18,18,1.0
0,adaptive-f3-mcfg,fault:duplicate-product-currency-server-occurrence:seen-size,8,8,1.0
0,adaptive-f3-mcfg,fault:duplicate-product-currency-server-occurrence:unseen-size,10,10,1.0
0,adaptive-f3-mcfg,fault:duplicate-product-server-occurrence:all,18,18,1.0
0,adaptive-f3-mcfg,fault:duplicate-product-server-occurrence:seen-size,8,8,1.0
0,adaptive-f3-mcfg,fault:duplicate-product-server-occurrence:unseen-size,10,10,1.0
0,adaptive-f3-mcfg,fault:duplicate-shipping-currency-server-occurrence:all,18,18,1.0
0,adaptive-f3-mcfg,fault:duplicate-shipping-currency-server-occurrence:seen-size,8,8,1.0
0,adaptive-f3-mcfg,fault:duplicate-shipping-currency-server-occurrence:unseen-size,10,10,1.0
0,trivial-f3-mcfg,normal-all,18,18,1.0
0,trivial-f3-mcfg,normal-seen-size,8,8,1.0
0,trivial-f3-mcfg,normal-unseen-size,10,10,1.0
0,trivial-f3-mcfg,fault:currency-server-phase-inversion:all,14,18,0.7777777777777778
0,trivial-f3-mcfg,fault:currency-server-phase-inversion:seen-size,4,8,0.5
0,trivial-f3-mcfg,fault:currency-server-phase-inversion:unseen-size,10,10,1.0
0,trivial-f3-mcfg,fault:drop-product-currency-server-occurrence:all,14,14,1.0
0,trivial-f3-mcfg,fault:drop-product-currency-server-occurrence:seen-size,4,4,1.0
0,trivial-f3-mcfg,fault:drop-product-currency-server-occurrence:unseen-size,10,10,1.0
0,trivial-f3-mcfg,fault:drop-product-server-occurrence:all,14,14,1.0
0,trivial-f3-mcfg,fault:drop-product-server-occurrence:seen-size,4,4,1.0
0,trivial-f3-mcfg,fault:drop-product-server-occurrence:unseen-size,10,10,1.0
0,trivial-f3-mcfg,fault:duplicate-product-currency-server-occurrence:all,18,18,1.0
0,trivial-f3-mcfg,fault:duplicate-product-currency-server-occurrence:seen-size,8,8,1.0
0,trivial-f3-mcfg,fault:duplicate-product-currency-server-occurrence:unseen-size,10,10,1.0
0,trivial-f3-mcfg,fault:duplicate-product-server-occurrence:all,18,18,1.0
0,trivial-f3-mcfg,fault:duplicate-product-server-occurrence:seen-size,8,8,1.0
